🚀 NovelGen Web UI is running at http://localhost:8080
[GIN] 2026/06/02 - 22:56:48 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:49 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:51 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:53 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:54 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:56 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:57 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:59 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:01 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:02 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:04 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:05 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:07 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:09 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:10 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:12 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:13 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:15 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:17 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:18 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:20 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:21 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:23 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:25 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:26 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:28 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:29 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:31 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:33 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:34 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:36 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:37 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:39 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:41 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:42 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:44 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:45 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:47 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:49 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:50 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:52 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:53 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:55 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:57 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:57:58 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:00 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:01 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:03 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:05 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:06 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:08 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:09 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:11 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:13 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:14 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:16 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:17 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:19 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:21 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:22 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:24 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:25 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:27 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:29 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:30 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:32 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:33 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:35 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:37 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:38 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:40 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:41 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:43 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:45 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:46 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:48 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:49 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:51 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:53 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:54 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:56 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:57 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:58:59 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:01 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:02 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:04 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:05 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:07 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:09 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:10 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:12 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:13 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:15 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:17 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:18 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:20 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:21 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:23 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:25 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:26 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:28 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:29 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:31 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:33 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:34 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:36 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:37 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:39 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:41 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:59:42 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
